Group 1,Group 2,Permutation Test Threshold,DOTNB Threshold,Sensitivity Average,Sensitivity Standard Deviation,Specificity Average,Specificity Standard Deviation,Precision Average,Precision Standard Deviation,Accuracy Average,Accuracy Standard Deviation,F1 Average,F1 Standard Deviation
20,5,0.1,0.01,0.67775,0.01562272205617333,0.9906555554999998,0.0007466431828685242,0.8896289830999999,0.00809926594646298,0.959365,0.0017128679653337642,0.7692847354000001,0.011355161607144287
20,10,0.05,0.025,0.7455,0.01162134052317353,0.9939388889,0.0006648380580895824,0.9318078127000001,0.0075625975435448895,0.9690949999999999,0.0015557152695785759,0.8282781679,0.009263881809394352
20,15,0.05,0.025,0.77645,0.006942021799639266,0.9954111110999999,0.0007149203840678024,0.949509037,0.007740924626401557,0.9735149999999999,0.0012229404455382736,0.8542948778999999,0.006770982368917375
20,20,0.025,0.05,0.8026499999999999,0.01267116148320007,0.9963833333000001,0.0004385800846735255,0.9610482112,0.004535935138099812,0.9770100000000002,0.0012677188612271722,0.8746824355000001,0.007697229854310314
20,25,0.05,0.05,0.8272,0.006737952211169215,0.9938333332999999,0.0003777050165951407,0.9371320289,0.0036679903501297007,0.9771700000000001,0.0007793159393553655,0.8787277459,0.004432943134430562
20,30,0.025,0.05,0.8219000000000001,0.0068182760936243,0.9966888886999999,0.0007532282182027469,0.9650677278000002,0.007644229391278861,0.9792099999999999,0.0009270023372858023,0.8877217134000001,0.005046382487241431
20,35,0.025,0.05,0.82575,0.010789011899973864,0.9970055554,0.0003419163343542746,0.9683901497999999,0.0036368815777125013,0.97988,0.0012028207587906885,0.8913704786000001,0.007058747001515573
20,40,0.05,0.05,0.84045,0.004633513185957765,0.9949833334000001,0.00026195683054664354,0.9490184461,0.002628982147331644,0.9795300000000001,0.0005893499243516835,0.8914358326,0.003285341089374442
20,45,0.025,0.05,0.8269500000000001,0.006845314699364347,0.9975388888,0.00045965469475342193,0.9739525437,0.004647848168072971,0.98048,0.0005573747990954309,0.8944246077000001,0.0033483317380299717
20,50,0.025,0.05,0.8228500000000001,0.007004165427324894,0.9978833331999999,0.0002752350979111724,0.9773720294,0.0029405232832298237,0.98038,0.0008145209907942441,0.8934669320000002,0.004732759228132565
20,55,0.025,0.05,0.82325,0.006638482088884805,0.9980833332000001,0.0005126988543252323,0.9795000464000001,0.00538108008139876,0.9805999999999999,0.0008256310717667434,0.8945860696000001,0.004664908044629904
20,60,0.025,0.1,0.8446999999999999,0.009516652072376437,0.9950277777000001,0.0006464262561684958,0.9497221153,0.00617790445350043,0.9799950000000001,0.0010902216899939799,0.8941048972999999,0.006072964807008142
20,65,0.025,0.1,0.8393,0.00666333249958309,0.9953833333999998,0.00040270859618730834,0.9528355817999999,0.00402492208623369,0.9797750000000001,0.0008327497956902935,0.8924596365999997,0.004649257588019747
20,70,0.025,0.1,0.84055,0.005673770057613085,0.9957333331999999,0.00048700525371586883,0.9563297879,0.004790970335001342,0.980215,0.0007356214304170992,0.8946972221999999,0.004030581480305504
20,75,0.025,0.1,0.8395499999999998,0.009130078495463967,0.9954611113,0.00036293453573492325,0.9536177996000001,0.0034007347165487386,0.97987,0.0008676917015212818,0.8929267882999999,0.005089702705903784
20,80,0.025,0.1,0.8411500000000001,0.008596026213702873,0.9957055556000001,0.0005218477081033677,0.9561063073,0.004940178282309545,0.9802500000000001,0.0008079466429027226,0.8949190917,0.004679161095795478
20,85,0.025,0.1,0.83375,0.011764470994387198,0.9957777778000001,0.0002904516633183476,0.9564017381,0.003069634107557907,0.9795749999999999,0.0012675983415718138,0.8908401686999999,0.007370518887029423
20,90,0.025,0.1,0.8321,0.005621387729022084,0.9960055555,0.00047894657998017484,0.9586112628999999,0.004694351265222041,0.9796149999999999,0.0006214007474157748,0.8908704032999999,0.003484264277038976
20,95,0.025,0.1,0.83345,0.006546627630569302,0.9958777779,0.00037111028350626964,0.9573857751,0.0037801113530914433,0.979635,0.0008286702869322798,0.8911190026,0.004664221591016975
20,100,0.025,0.1,0.8375,0.010410998457827616,0.9958166667,0.0004815168874447439,0.9569808237999998,0.004902302874797118,0.9799849999999999,0.0012387381572480198,0.8932361337,0.00701752264388273
25,5,0.1,0.025,0.7011499999999999,0.005126456432620441,0.9860722221,0.0005995253658810288,0.8483696638,0.005419930822867809,0.9575799999999999,0.0006545566777937909,0.767749065,0.0036689623778443457
25,10,0.05,0.025,0.7521,0.011829342049891568,0.9951777779000001,0.00046687259536395774,0.9454741978000001,0.004853047553192182,0.9708699999999999,0.001135585996547844,0.837718636,0.007320089914323096
25,15,0.025,0.05,0.7841,0.011154968997416966,0.99555,0.0005389175479206957,0.9514244891999999,0.005635360864167208,0.9744050000000002,0.0012271126906504984,0.8596550732000001,0.007417862969269444
25,20,0.025,0.05,0.80625,0.010604637350392196,0.9960833335,0.0004956948200207402,0.9581229698,0.005152179973082363,0.9771000000000001,0.0011914044000440813,0.8756162983,0.007009574203968881
25,25,0.05,0.05,0.8316000000000001,0.01050872653242691,0.9960222221999999,0.0004415025734460895,0.9587374778,0.004443850010803861,0.97958,0.0011433867820354292,0.8906222704000001,0.006612975493331968
25,30,0.025,0.05,0.8266499999999999,0.006557650324451419,0.9970722223999999,0.0003054715130214336,0.9691144585000002,0.003153536706340425,0.98003,0.0007353003921301009,0.8922182392,0.004243745383407341
25,35,0.025,0.05,0.83445,0.008619905903069838,0.9973333335,0.0004048743932980868,0.9720670220000001,0.004061577679945646,0.981045,0.0008261187700459376,0.8979876800000002,0.004865659617575246
25,40,0.025,0.05,0.8401499999999998,0.00864436232465993,0.9974000000000001,0.0003412638215294426,0.9729198626000001,0.0033966329119596694,0.9816750000000001,0.0008307459833721004,0.9016467408999999,0.004878698047256193
25,45,0.025,0.1,0.8616499999999998,0.0064508827991902684,0.9946555555,0.0005163978631699568,0.9471371654,0.004991813932068381,0.981355,0.0009268974532756404,0.902363527,0.0049673817527598665
25,50,0.025,0.1,0.8626999999999999,0.006156297588648546,0.9954555556000001,0.00024258530721343348,0.9547338090999998,0.0024635186513223164,0.9821799999999999,0.0007383164031166364,0.9063789576,0.0041011478146574095
25,55,0.025,0.1,0.8627500000000001,0.005926634795564844,0.9955277776999999,0.000702850313438247,0.9554643155000001,0.006698743675883982,0.98225,0.000894427190999918,0.9067258049,0.004683126399748399
25,60,0.01,0.1,0.8445500000000001,0.008655280982665388,0.9977555554999998,0.00021627837317950838,0.9766391543999999,0.002261060527784053,0.982435,0.0009249774772032588,0.9057850147000002,0.0053250243417745854
25,65,0.025,0.1,0.8622500000000001,0.010198719963254648,0.9956444444999999,0.0004537602731174384,0.9565219043,0.004444596515432419,0.9823050000000002,0.0011439332731122628,0.906915203,0.006400190737581838
25,70,0.025,0.1,0.85605,0.006043591647356729,0.9964777777,0.0006001828838792089,0.9643213391,0.005877280014862983,0.982435,0.0008209242758419569,0.9069493804999998,0.004412904805241179
25,75,0.025,0.1,0.8639999999999999,0.008730533902472514,0.9961777778000002,0.00033620172964747894,0.9617278805999998,0.003120671622011468,0.98296,0.0007926047074186481,0.9102211122000001,0.004571526126304988
25,80,0.01,0.1,0.8369500000000001,0.008450673871880815,0.9982555555999999,0.0003335390529802159,0.9816110198000001,0.0033828759901438884,0.9821249999999999,0.0007450764315752407,0.9034975290999998,0.0044782296549777485
25,85,0.025,0.1,0.85365,0.005538000040126809,0.9964333334,0.00043255720016308557,0.9637773905,0.004219469661597611,0.982155,0.0006422400035985134,0.9053641241000001,0.003533879274939459
25,90,0.025,0.1,0.8545,0.008727351641057372,0.996611111,0.0002709025963982857,0.9655301338000001,0.002816007464103037,0.9824000000000002,0.0010055402085998846,0.9066120164000001,0.005681935359884242
25,95,0.025,0.1,0.8507999999999999,0.004191260749066649,0.9966222221999999,0.0004806259613022854,0.9655238864,0.00470136977873474,0.9820400000000001,0.0005675483337224326,0.9045283285,0.0030223647591277906
25,100,0.025,0.1,0.8459999999999999,0.007404953297174361,0.9969166667,0.00034071049080708007,0.9682498558000001,0.003396296534171891,0.981825,0.0007920613051469649,0.9029887491,0.004525391914522111
30,5,0.1,0.025,0.7062499999999999,0.015284796367632778,0.9861722222000001,0.0010137769410208046,0.8502897522999999,0.008336402091982652,0.9581799999999999,0.0013854802616982808,0.7714951996,0.009177644491821882
30,10,0.05,0.025,0.7455,0.006595452979136452,0.9956722222,0.00040778585150290744,0.9503503135999999,0.004594306388556226,0.970655,0.0008719231617522271,0.8355412899000001,0.005224966087017512
30,15,0.025,0.05,0.78685,0.010839869822916596,0.9965500000000003,0.0004432468324288668,0.9620477957999999,0.004770401305955698,0.9755800000000001,0.0011825584317252367,0.8656369260000002,0.007145748191473049
